case_id,case_outcome,case_title,case_text
Case6486,cited,Populin v HB Nominees Pty Ltd (1982) 41 ALR 471,"There is no significant dispute as to the relevant legal principles of interpretation. It is clear that the claims must not be read in the abstract, but rather in their context, including existing published knowledge. What is being construed is a public instrument which must define a monopoly in such a way that it is not reasonably capable of being misunderstood: Populin v HB Nominees Pty Ltd (1982) 41 ALR 471 at 476. In Kimberly-Clark Pty Ltd v Arico Trading International Pty Limited [2001] HCA 8 ; (2001) 207 CLR 1 at 16, the majority joint judgment noted that it is necessary to construe the complete specification in the light of the common general knowledge and the art before the priority date, allowing the Court to place itself in the position of a person reading the specification who is acquainted with the surrounding circumstances as to the state of that art and its manufacture at that time. 53 In order to succeed on the infringement claim, Stena must show that Austal has taken each and every one of the essential integers of the patentee's claim; that is, Stena must show that each of the Austal 94, Austal 196 and Austal 285 vessels possesses all of the essential features of the relevant claims: see Populin v HB Nominees Pty Ltd (1982) 41 ALR 471 at 475; Olin Corporation v Super Cartridge Co Pty Ltd [1977] HCA 23 ; (1977) 180 CLR 236 at 246 (per Gibbs J)."
Case13017,followed,Compaq Computer Australia Pty Ltd v Merry (1998) 157 ALR 1,In Rasomen Pty Ltd v Shell Co of Australia Ltd (1997) 75 FCR 216 at 223 (' Rasomen ') the Full Court held that s 79 of the Judiciary Act 1903 (Cth) enables the Federal Court to deal with a no-case submission. In Compaq Computer Australia Pty Ltd v Merry (1998) 157 ALR 1 at 6 Finkelstein J referred to both sources of power (Order 35 r 1 and s 79). The Federal Magistrates Court is a s 79 Court.
Case3139,cited,Trade Practices Commission v Nicholas Enterprises (1979) 28 ALR 201,"No restrictive interpretation of ""good cause"" has been imposed. Bowen LJ said in Jones v Curling (1884) 13 QBD 262 at 272: ... ""good cause"" really seems to me to mean that there must exist facts which might reasonably lead the judge to think that the rule of the costs following the event would not produce justice as complete as the exceptional order which he himself could make. Now, to ascertain the existence of such facts the judge should look in the first place at the result of the action itself... and he should look also at the conduct of the parties to see whether either of them had in anyway involved the other unnecessarily in the expense of litigation... On the other hand, the conduct relevant to ""good cause"" must exhibit a connection with the institution or conduct of the proceedings: see Huxley v West London Extension Railway Co (1889) 14 App Cas 26 at 33-34 per Lord Watson; Bostock v Ramsey Urban District Council [1900] 2 QB 616 at 627 per Romer LJ. Some illustrations of circumstances in which the Court has considered whether to exercise the costs discretion other than in favour of the successful party are given by Ritter ; Schaftenaar and Trade Practices Commission v Nicholas Enterprises Pty Ltd (1979) 28 ALR 201."
Case20140,followed,Olbers Co Ltd v Commonwealth and Another [2004] FCAFC 262 ; (2004) 143 FCR 449,"In Bert Needham Automotive Co. Pty. Ltd. v Commissioner of Taxation of the Commonwealth of Australia (1976) 26 FLR 108 (applied by the Full Court in Olbers Co Ltd v Commonwealth and Another [2004] FCAFC 262 ; (2004) 143 FCR 449) Rath J considered provisions of the Customs Act concerning the time at which the forfeiture occurred (see 114-115) and found at 114 that title passed to the Crown 'immediately upon a cause of forfeiture arising, without either seizure or condemnation. Such a strict construction is consistent with decisions on customs legislation both in England and Australia ( The Annandale (6); Burton v. Honan (7))' . His Honour continued: The terms ""forfeiture"", ""seizure"" and ""condemnation"" are not defined in the Act. They are well-known terms in customs legislation. The term ""condemnation"" refers not to a proceeding which has the effect of vesting title in the Crown, but to a proceeding which determines that upon some cause previously arising title had vested in the crown (Burton v. Honan (8); Willey v. Synan (9))."
Case9015,followed,SZEJF v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2006] FCA 724,"In conducting its "" review "", the Tribunal is conducting an "" inquisitorial hearing "": Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Applicant S154/2002 [2003] HCA 60 at [58] , 201 ALR 437 at 451. Such an obligation is different to that discharged by superior courts and may be more onerous: Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs v SGLB [2004] HCA 32 at [73] , [2004] HCA 32 ; 207 ALR 12 at 33. Albeit in dissent as to the ultimate conclusion, the following observations of Kirby J are apposite: ...the Tribunal is not a body engaged in purely adversarial proceedings. It operates according to inquisitorial procedures. This feature of the Tribunal's operation casts obligations upon it that are different from, and in some respects more onerous than, those applicable to more traditional bodies acting according to the more passive decision-making virtues of adversarial trial. This "" inquisitorial "" nature of the hearing is emphasised by s 424(1) and the conferral upon the Tribunal of power to "" get any information that it considers relevant "". See also SAAP v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2005] HCA 24 at [111] [123], 228 CLR 294 at 330 3 per Gummow J. As correctly noted by the Federal Magistrate, the task of the Tribunal was to undertake a "" proper, genuine and realistic consideration [of] the merits of the case "": SZEJF v Minister for Immigration and Multicultural &amp; Indigenous Affairs [2006] FCA 724 at [39] per Rares J. The task of this Court is to ensure that any decision of the Tribunal is a decision authorised by the 1958 Act; the task of this Court is not to review the merits of the decision reached: Cf Applicant VEAL of 2002 v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2005] HCA 72 at [16] , [2005] HCA 72 ; 222 ALR 411 at 416 (Gleeson CJ, Gummow, Kirby, Hayne and Heydon JJ)."
Case8093,referred to,Community Development Pty Limited v Engwirda Construction Company [1969] HCA 47 ; (1966) 120 CLR 455,"In Community Development Pty Limited v Engwirda Construction Company ('Engwirda') [1969] HCA 47 ; (1966) 120 CLR 455 at 459, Kitto J made the following observations in respect of what is meant by the expression 'contingent creditor': 'Not much assistance is to be gained, I think, from observations that are to be found in reported cases as to the import of the word ""contingent"", and I shall refer to one only. In In re William Hockley Ltd ... Pennycuick J. suggested as a definition of ""a contingent creditor"" what is perhaps rather a definition of ""a contingent or prospective creditor"", saying that in his opinion it denoted ""a person towards whom, under an existing obligation, the company may or will become subject to a present liability upon the happening of some future event or at some future date"". The importance of these words for present purposes lies in their insistence that there must be an existing obligation and that out of that obligation a liability on the part of the company to pay a sum of money will arise in a future event, whether it be an event that must happen or only an event that may happen. A building contract creates, as soon as it is entered into, an obligation upon the building owner to pay the contract price, either as a whole upon a future event or, more usually, by progress and final payments each of which is to be made on a future event. The event or events may not happen, but if and when one of them does happen the building owner, by force of the contractual obligation, must pay the builder a sum of money. It is, I think, nothing to the point that the event may be complex, as where the payment is agreed to be made when the whole or some part of the work has been done to the satisfaction of an architect as expressed in a certificate or to the satisfaction of an arbitrator as expressed in an award: the building owner is bound from the time the contract is made to pay money to the builder upon a contingency; and that in my opinion makes the builder a contingent creditor of the owner.' 72 Barwick CJ agreed with the observations of Kitto J and, inferentially, so did Windeyer J. Owen J found that the petitioning creditor was within the meaning of the expression 'contingent creditor' and therefore entitled to petition for the winding up of Community Development Pty Limited, although his Honour addressed other possible meanings of the expressions 'contingent debt' and 'contingent liability' in reaching that conclusion. 73 In The National Bank of Australasia Limited v Mason [1975] HCA 56 ; (1975) 133 CLR 191 Barwick CJ adopted the same approach as had been adopted by Kitto J in Engwirda . At 200 he said: 'There must be some present obligation to pay out of which the money may become due' for monies to be regarded as 'owing contingently'."
Case635,cited,Microsoft Corporation v TYN Electronics Pty Ltd (in liq) (2005) 63 IPR 137,"the formulation of Lord Wright in Sutherland has been described as ""no more than a convenient label for the various ways of assessing damages which are available in any particular case"" ( Australasian Performing Rights Association v Grebo Trading Co. Pty Ltd (1978) 23 ACTR 30 per Blackburn CJ at 31) and the question to be answered is, what loss has Jennings suffered as a result of the infringement of its copyright? ( Interfirm at 446) As to the general principles concerning the assessment of damages for breach of copyright, see Autodesk v Cheung (1990) 94 ALR 472 at 474 477; Amalgamated Mining Services Pty Ltd v Warman International Ltd [1992] FCA 542 ; (1992) 111 ALR 269 at 285; Microsoft Corporation v TYN Electronics Pty Ltd (in liq) (2005) 63 IPR 137 and Eagle Rock Entertainment Ltd &amp; Anor v Caisley (2006) 66 IPR 554. Jennings contends that it does not licence its copyright to enable third party construction to occur. It keeps its copyright in a Jennings safe harbour and uses it solely in its own construction activity. Therefore, it is said, Jennings ought not to be treated in an analogous position to an architect who might, by reason of the nature of the professional work an architect undertakes, be subject to an implied licence of the copyright in a work produced in connection with particular projects. Nor, it is said, should the hypothetical ""construct"" of a notional willing licensor and licensee be adopted as the framework for determining a surrogate measure of damages by reference to a licence fee. The pleading claims damages on the alternative bases of either a fee for use of the plan or lost profits in the construction of the Bogdan home. Presumably, the pleading does so in order to preserve alternative possible formulations of a remedy in damages in respect of proven infringing conduct. However, it is clear that the letter of demand from Jennings dated 19 November 2003 made a claim for a fee for use of the plan for an amount which remains the amount claimed as a fee for use in the amended pleading."
Case22223,followed,SZLBJ v Minister for Immigration &amp; Citizenship [2008] FCA 609,"So understood, objection was taken on behalf of the Respondent Minister. Leave to amend requires an adequate explanation to be provided as to why the new ground was not previously relied upon before the Federal Magistrate and may only be granted if the new ground has some merit: VUAX v Minister for Immigration &amp; Multicultural &amp; Indigenous Affairs [2004] FCAFC 158 at [46] [48]; SZIBR v Minister for Immigration &amp; Citizenship [2008] FCA 502 at [38] [41]; SZLBJ v Minister for Immigration &amp; Citizenship [2008] FCA 609."
Case10701,distinguished,Applicant VEAL of 2002 v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 72 ; (2005) 225 CLR 88,"Telstra submits that procedural fairness requires a decision-maker to disclose to an interested party the substance of material that is significant, relevant, credible and obtained from a source other than that party (citing Kioa v West [1985] HCA 81 ; (1985) 159 CLR 550 ( Kioa v West) and Applicant VEAL of 2002 v Minister for Immigration and Multicultural and Indigenous Affairs [2005] HCA 72 ; (2005) 225 CLR 88 ( VEAL )). As formulated, the submission is based on the High Court judgment in VEAL at [14]-[18] which refers to the judgment of Brennan J in Kioa v West at 628-629. Brennan J there referred to adverse information that is credible, relevant and significant which the decision-maker possesses and proposes to take into account. VEAL concerned an unsolicited letter from a third party which had been forwarded by the Department of Immigration and Multicultural and Indigenous Affairs to the Refugee Review Tribunal. 484 In my respectful opinion neither Kioa v West nor VEAL is of direct relevance to the present case, which is not one of ""information"" of the kind referred to in them. The relevant information that ACCC ""possessed"" was that Telstra had implemented a churn process that required the participation of both the losing and gaining access seekers, and that neither Telstra (Bigpond) nor Request were participants in that process. This information came from Telstra or was at least known to Telstra. Furthermore, Telstra knew that ACCC's objective was to avoid disconnection charges in the case of an end-user switching service providers, and the information referred to was of obvious relevance to that objective. The procedural fairness issue raised in the present case concerns the solution arrived at and the reasoning process that led to it. This is a different area of discourse from that of information received by a decision-maker from a third party."
Case18152,cited,Cummings v Lewis (1993) 41 FCR 599,"Ordinarily, if a successful party is denied an order for costs in whole or part, it is because of its conduct of the proceeding in some respect or respects. In Ruddock v Vadarlis (No 2) at 236, Black CJ and French J said: ""Within the general discretion to award costs, costs may be refused where, for example, the applicant has made an exaggerated claim which has occupied a significant proportion of the proceedings and has succeeded only on a minor aspect of its original claim. Costs may be apportioned according to success or failure on particular distinct or severable issues ... . And a trial judge may award only a proportion of the successful party's costs if the conduct of that party at trial was such as to unreasonably prolong the proceedings ...."" (Citations omitted) The ordinary costs order in favour of a successful party is not made where, by reason of the successful party's conduct, it would not be just and reasonable to do so: see, e.g., Latoudis v Casey [1990] HCA 59 ; (1990) 170 CLR 534 at 544 per Mason CJ and Cummings v Lewis (1993) 41 FCR 599 at 603 per Cooper J (with whom Sheppard and Neaves JJ generally agreed)."
Case20878,referred to,Tisand Pty Ltd v the Owners of the Ship MV Cape Moreton (Ex Freya) [2005] FCAFC 68 ; (2005) 143 FCR 43,"In Tisand Pty Ltd v the Owners of the Ship MV Cape Moreton (Ex Freya) [2005] FCAFC 68 ; (2005) 143 FCR 43, the Full Court discussed the approach to interpretation of the Act at [59] to [65]. I need not set out those passages here. To those comments, only two matters need be added for emphasis, for the purposes of this case. First, provisions conferring jurisdiction or granting powers to a court should be interpreted liberally and without imposing limitations not found in the express words: The 'Shin Kobe Maru' (HC) at 421. Secondly, a particular aspect of the importance of the context provided by the ALRC Report (otherwise discussed in The 'Cape Moreton' above) is the consideration referred to by the High Court in The 'Iran Amanat' at 138, as follows: The Australian legislation having been enacted against the background of English legislation and authority set out above, the definition of ""relevant person"" should be understood as having the same meaning as the courts had given to the corresponding words in the English statute. When the Parliament has enacted legislation, affecting the subject of international shipping, and followed a statutory precedent from overseas which has by then received a settled construction, there is every reason to construe the statutory language in the same way in this country unless such construction is unreasonable or inapplicable to Australian circumstances."
Case4207,cited,Henjo Investments Pty Ltd v Collins Marrickville Pty Ltd (No. 1) [1988] FCA 40 ; (1988) 39 FCR 546,"order to establish that conduct is misleading or likely to mislead it is usually necessary to show that it conveys, in all the circumstances of the case, a misrepresentation: cf. Taco Co of Australia Inc v Taco Bell Pty Ltd [1982] FCA 136 ; (1982) 42 ALR 177 at 202 per Deane and Fitzgerald JJ; Henjo Investments Pty Ltd v Collins Marrickville Pty Ltd (No. 1) [1988] FCA 40 ; (1988) 39 FCR 546 at 555 per Lockhart J."
Case4390,applied,Repatriation Commission v Deledio [1998] FCA 391 ; (1998) 83 FCR 82,"It is necessary, because of the jurisdictional issue raised by the Commission, to set out the questions of law and the grounds of appeal contained in Mr Masliczek's notice of appeal. They are: "" 2. QUESTIONS OF LAW RAISED IN THE APPEAL 1.1 Was the Tribunal wrong in law in the methodology it adopted to ascertain whether the applicant was entitled to have the claimed condition of Post Traumatic Stress Disorder (PTSD) accepted as a war related disease. 1.2 Was the Tribunal wrong in law by applying incorrectly or not at all sections 119 , 120 (1) and (3), 120A of the Veterans' Entitlements Act 1986 (Cth) and the decision of Deledio v Repatriation Commission ? [This is a reference to the decision of the Full Court in Repatriation Commission v Deledio [1998] FCA 391 ; (1998) 83 FCR 82 in which (at 97-98) the Court explained a four step process to be followed by the Tribunal in determining whether the applicant has established a link between his or her operational service and a medical condition which is relied on to support the payment of a pension]. 1.3 Was the Tribunal wrong in law in determining the diagnosis of the condition of post traumatic stress disorder (PTSD) by reference to the statements of principle alone without regard to the expert clinical medical evidence of the psychiatrists who had interviewed the applicant? 1.4 Was the Tribunal wrong in law in failing to apply or to apply correctly all relevant statements of principle for PTSD? 1.5 Was the Tribunal wrong in law in failing to give adequate and proper consideration to the applicant's claim for the condition of osteoarthrosis of the fingers of the right hand in its determination that the right ear hearing problem was covered by the accepted disability of hearing loss of the left ear? 1.6 Was the Tribunal wrong in law by applying Mines v Repatriation Commission which contradicted the High Court Decisions of Bushell v Repatriation Commission, Byrnes v Repatriation Commission and Repatriation Commission v O'Brian; and the full Federal Court Decisions of Repatriation Commission v Whetton and Deledio and Repatriation Commission ? 1.7 Was the Tribunal wrong in law by failing to provide adequate and sufficient reasons for its findings on material questions of fact and a reference to the evidence or other material on which those findings were based? 3. GROUNDS OF APPEAL 3.1 The Tribunal was wrong in law in the methodology it adopted in ascertaining whether the Applicant was entitled to have the claimed condition of PTSD as a war related disease. 3.1.1 The Tribunal was required to determine first whether the applicant was suffering from PTSD before proceeding to determine if the disease was war service related. 3.1.2 The Tribunal conflated the two questions depriving the Applicant the benefit of the doubt in ascertaining whether he suffered a stressful event during his service. 3.1.3 The test adopted by the Tribunal throughout was that of the balance of probabilities whereas because of his operational service some of the circumstances surrounding the stressful events had to be given the more generous test of a reasonable hypothesis. 3.2 The Tribunal was wrong in law in the application of, or in the failure to apply sections 119 , 120 (1), (3), and 120A of the Veterans' Entitlements Act and the decision of Deledio v Repatriation Commission . 3.2.1 These sections and the decision had application to determine the basis of a reasonable hypothesis whether the applicant had experienced a stressful event. The Tribunal erred in law in failing to apply the sections or the authority. 3.2.3 The Tribunal was required by law only to determine that the injuries claimed were not war caused if it was satisfied beyond reasonable doubt that there were no sufficient grounds for making such a claim (s 120(1) to do so it had to raise the test of a reasonable hypothesis based on all the material before it (s 120(3)). This the Tribunal failed to do. 3.2.4 The Tribunal was wrong in law in requiring the applicant to provide objective evidence that he had encountered the bodies of the children whereas the Tribunal was required to determine whether there was a reasonable hypothesis pointed out by the material that he had encountered the bodies. The Tribunal, although rejecting the event as being neither truthful nor accurate, did not challenge it pursuant to the requirements of s 120(1) , namely disprove it beyond reasonable doubt. 3.2.5 The Tribunal failed to apply s 120(1) to the circumstances of the applicant's case. 3.2.6 It was insufficient for the Tribunal to note that the circumstances of mortar and rocket fire did not accord with official records and that the events were not mentioned to two psychiatrists and to conclude that these were not traumatic events experienced by the applicant. It was not appropriate for the Tribunal to prefer the accuracy to the old official records of the events in relation to the shooting event. The Tribunal was required to ascertain whether the Applicant had been exposed or confronted with a traumatic event regardless of the position of the body or whether or not he had entered the tent. 3.2.7 The Tribunal appears to confuse between what constituted a traumatic event and whether or not the event took place. The Tribunal conflates these two questions to the detriment of the applicant. 3.3 The Tribunal was wrong in law in determining the diagnosis of the condition of post traumatic stress disorder by reference to the statements of principle rather than the clinical evidence of psychiatrists who had interviewed the applicant. 3.3.1 Post traumatic stress disorder was diagnosed by both the psychiatrists commissioned by the Applicant (Dr Cole and Dr Holwill) and the Repatriation Commission psychiatrists (Dr Walton and Dr Gelb). The Tribunal failed to take into consideration these reports and the evidence given. 3.4 The Tribunal was wrong in law in the application of the statements of principle for post traumatic stress disorder. 3.4.1 The Tribunal was required to determine the most favourable of the Statements of principle instead it used the more onerous. 3.4.2 The Tribunal was wrong in law in the standard of proof it adopted in determining whether the applicant met the requirements of the statements of principle for post traumatic stress disorder. 3.5 The Tribunal was wrong in law in failing to give adequate and proper consideration to the applicants claim for the condition of osteoarthrosis of the fingers of the right hand and in its determination that the right ear hearing problem was covered by the accepted disability of hearing loss of the left ear when there was a loss of hearing to the right side. 3.5.1 The Tribunal failed to provide clear reasons for rejection of osteoarthritis of the fingers of the right hand in which it needed to explain why, pursuant to s 120 of the Act , it was satisfied beyond reasonable doubt that it was not war caused. [The appellant did not press this ground insofar as it dealt with hearing loss]. 3.6 [This ground was not pressed]. 3.7 The Tribunal was wrong in law in failing to provide sufficient and adequate reasons for its decision. 3.7.1 The Tribunal was required to do so pursuant to section 43(2B) of the Administrative Appeals Act ."" 18 Once the Tribunal had concluded that the traumatic events described by Mr Masliczek had not occurred and that he was not suffering from PTSD there was no occasion for the Tribunal to embark on the four step process which is outlined Deledio in order to determine whether a non-existent medical condition could be linked to operational service. 19 Mr Masliczek submitted that it was not open to the Tribunal, having regard to the specialist medical evidence, to find that he did not suffer from PTSD. This submission must be rejected. Only one psychiatrist gave oral evidence. That was Dr Walton. Dr Walton made a diagnosis of PTSD on the basis of the bodies' event, the shooting event and the firing event as described by Mr Masliczek. He did not consider that the taxi event or the casualty event were stressful in the necessary sense. Drs Holwill, Cole and Gelb, whose reports were before the Tribunal, also diagnosed PTSD principally on the basis of the bodies' event. As the Tribunal found, this event did not occur. The fifth doctor, Dr Kenny, did not diagnose PTSD. The evidence did not, therefore, compel a finding that Mr Masliczek suffered from PTSD. 20 During oral argument counsel for Mr Masliczek sought to argue that the Tribunal had erred in the manner in which it dealt with the general anxiety and the depressive disorders which it found, in paragraph [36], that Mr Masliczek suffered. He argued that the Tribunal's reasons suggested that these conditions had been found not to be service related because Mr Masliczek had fallen at the third of the Deledio steps: he had not experienced a category 1A or a category 1B stressor as defined in Statements of Principles Nos 101 of 2007 and 27 of 2008. It was argued that, in accordance with the Full Court's decision in Repatriation Commission v Keeley [2000] FCA 532 ; (2000) 98 FCR 108 at 123; 131-2, the Tribunal was required to consider whether earlier versions of these instruments, which were in force at the time at which the primary decision on Mr Masliczek's claim was made, might, if applied, have led to a favourable decision. These earlier versions did not contain a requirement that an applicant must have experienced defined stressors during service. The Tribunal had not considered the earlier versions. 23 Grounds 3.5 deals with Mr Masliczek's claim that the osteoarthrosis of the fingers from which he suffers was service related. The Tribunal held that Mr Masliczek did ""not satisfy the first step"" which was identified in Deledio . 24 In Deledio the Full Court explained the first step as follows (at 97): ""1. The Tribunal must consider all the material which is before it and determine whether that material points to a hypothesis connecting the injury, disease or death with the circumstances of the particular service rendered by the person. No question of fact finding arises at this stage. If no such hypothesis arises, the application must fail."" 25 The Tribunal noted that Mr Masliczek had attributed his painful fingers to injuries sustained while playing volleyball in Vietnam. It noted the reports of medical examinations conducted shortly after he was discharged from the Army in 1968. Those reports did not detect any injuries to his hand. The Tribunal also considered Mr Masliczek's evidence. The Tribunal determined that ""the material does not point to a hypothesis connecting the condition with the circumstances of the particular service rendered by him."" This conclusion was open to the Tribunal. None of the material pointed to the necessary connecting hypothesis. 26 Ground 3.7, as developed in argument, directed attention to the way in which the Tribunal had explained (or failed to explain) its reasons relating to Mr Masliczek's general anxiety and depressive disorders and his osteoarthrosis. 30 Paragraph 42 of the Tribunal's reasons has already been examined above at [23] to [25]. The Tribunal has adopted some shorthand expressions such as ""the first step from Deledio "". Nonetheless its reasoning processes, as I have earlier summarised them, are sufficiently clear, in my opinion, to satisfy its obligations under s 43(2B) of the AAT Act . 31 The appeal should be dismissed with costs. I certify that the preceding thirty-one (31) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice TRACEY. Associate: Dated: 22 October 2008 Counsel for the Appellant: Mr D De Marchi Solicitor for the Appellant: De Marchi and Associates Counsel for the Respondent: Ms J Macdonnell Solicitor for the Respondent: Australian Government Solicitor Date of Hearing: 6 October 2008 Date of Judgment: 22 October 2008 AustLII: Copyright Policy | Disclaimers | Privacy Policy | Feedback URL: http://www.austlii.edu.au/au/cases/cth/FCA/2008/1535.html"
Case13616,followed,Saraswati v Queen [1991] HCA 21 ; (1991) 172 CLR 1,"I cannot accept such a construction. It is true that s 15AA of the Acts Interpretation Act 1901 (Cth) directs a court to prefer a construction promoting the purpose or object of an Act. It is also true that patent textual ambiguity is not required in order to consult purpose (ie reference to purpose may be had both to raise as well as to resolve ambiguity): Saraswati v Queen [1991] HCA 21 ; (1991) 172 CLR 1 , 22; see also Kowalski v Domestic Violence Crisis Centre Inc [2001] FCA 1082 ; (2001) 113 FCR 67 at [23] . 19 Nevertheless, the purposive approach to statutory construction is not a carte blanche licence to courts to depart from unambiguous plain meaning. While purpose may sometimes be used to add, subtract, or clarify words in a statute or regulation ( Saraswati [1991] HCA 21 ; 172 CLR 1 at 22), ... where the text of a legislative provision is grammatically capable of only one meaning and neither the context nor any purpose of the Act throws any real doubt on that meaning, the grammatical meaning is ""the ordinary meaning"" to be applied. A court cannot depart from ""the ordinary meaning"" of a legislative provision simply because that meaning produces anomalies[.] See also SZKTI v Minister for Immigration and Citizenship [2008] FCAFC 83 at [44] - [45] (noting that where a party contends that a provision should not be given its literal or plain meaning, such a contention may lack force absent a plausible competing construction). The only exception to this rule is where the ordinary meaning would lead not just to an anomaly, but to a result that is ""manifestly absurd"" or ""unreasonable"": Saraswati [1991] HCA 21 ; 172 CLR 1 at 22; see also Chiropedic Bedding Pty Ltd v Radburg Pty Ltd (2007) 74 IPR 398 at [23]. 43 As noted earlier, a review of the statutory context, legislative history, and legislative purpose reveals an attempt to balance two competing objects: (1) the need to reduce barriers to entry and competition and thus reduce costs of patent attorney services; while (2) maintaining strict professional qualification requirements and thus safeguarding the public interest in receiving only high quality services. This understanding of context and purpose does not throw doubt on the construction of reg 20.3(3)(a) such as required by the High Court in Saraswati to justify judicial amendment of a statute or regulation that departs from the ordinary meaning. The legislative and regulatory scheme has hit on a compromise whereby in-house corporate patent practice (which would tend to be focused much more on out-of-court matters such as patent drafting and prosecution), but not ordinary law firm practice (which would tend to focus more on the giving of advice with respect to court-related matters such as validity and infringement proceedings), satisfies the registration requirements. This is entirely consistent with a legislative objective of partial deregulation while ensuring that high standards are maintained with respect to the complex technical arena of patent drafting and prosecution."
Case23660,considered,Re Williams (1968) 13 FLR 10,"The manner in which s 153B is to be applied has been summarised as follows by Carr, Finn and Sundberg JJ in Heinrich v Commonwealth Bank of Australia [2003] FCAFC 315: [20] The Court must first consider whether the sequestration order ought not to have been made. If it so finds, then the Court must consider whether, in the exercise of its discretion, the bankruptcy should be annulled: Re Deriu (1970) 16 FLR 420. Later evidence of previously unknown facts may disclose matters which show that the sequestration order ought not to have been made. That is, the Court is entitled to consider not only the case as disclosed at the time when the sequestration order was made, but also those facts now known then to have existed. The Court excludes those facts which have occurred since the order was made. Later evidence of previously unknown facts may disclose matters which show that the sequestration order ought not to have been made: Re Frank; Ex parte Piliszky (1987) 16 FCR 396 ; Stankiewicz v Plata [2000] FCA 1185 at [19] ; Re Williams (1968) 13 FLR 10 at 23; Re Ditfort; Ex parte Deputy Commissioner of Taxation (1988) 19 FCR 347. These authorities, all of which were cited by the learned primary judge in his judgment, were accepted at first instance as reflecting the relevant law. The section thus contemplates two elements: the Court reaching a state of satisfaction that an order "" ought not to have been made "" and an exercise of discretion: Rigg v Baker [2006] FCAFC 179 at [59] , [2006] FCAFC 179 ; 155 FCR 531 at 543 per French J. 40 Moreover, s 153B confers a discretion -- even if the Court is satisfied that an order "" ought not to have been made "", there thereafter remains a discretion as to whether a bankruptcy should be annulled: cf Delph Sing v Wood [1918] HCA 69 , 25 CLR 497 at 498 9, 505 per Barton, Gavan Duffy and Rich JJ; Re Williams (1968) 13 FLR 10 at 23 per Gibbs J; Re Deriu (1970) 16 FLR 420 at 421 per Gibbs J. Relevant to the exercise of that discretion is Ms Samootin's solvency. Such evidence as is before the Court shows that she remains insolvent. The further Affidavit as filed on 17 July 2008 does not lead to any different conclusion. If the occasion for the exercise of the discretion had arisen, it would have been exercised adversely to her."
Case9904,cited,"Leighton Contractors Pty Ltd v Construction, Forestry, Mining and Energy Union (2006) 164 IR 375","Union is and was a ""building association"" within the meaning of s 4 of the Building and Construction Industry Improvement Act . Pursuant to s 69(1)(b) , ""the following conduct in relation to a building association is taken to be conduct of the building association ... conduct of an officer or agent of the association acting in that capacity"". Mr Mates was an officer of the association (s 69(3)) and acted in that capacity. At trial, counsel for the Union and Mr Mates made no argument to the contrary: see also Hanley v Automotive, Food, Metals, Engineering, Printing and Kindred Industries Union [2000] FCA 1188 ; (2000) 100 FCR 530 at [76] - [78] per Ryan, Moore and Goldberg JJ and Leighton Contractors Pty Ltd v Construction, Forestry, Mining and Energy Union (2006) 164 IR 375 at [33] per Le Miere J. Mr Mates' conduct is therefore taken to be the conduct of the Union."
