Title,Review Text,Division Name,Department Name,Class Name
Very delicate,Cute top but started disintegrating after two washes. the delicate cutouts in the top tore apart. i machine washed it in the gentle cycle and didn't use the dryer. disappointed to have to discard the top after just buying it.,General,Tops,Blouses
Runs small,"Purchased on sale, would have never purchased at full price. runs small and runs short. will be returning.",General,Tops,Knits
See through,"This white shirt is very thin esp in the front and see through - i would have to wear a cami underneath unless i wanted people to see the outline of my bra. it seems very flimsy and poor quality, even at the sale price. disappointed and will return...",General Petite,Tops,Knits
Could have been great but just ok,"Love the detail of the white with yellow underneath but agree with the other reviewer that the material is very thin in the back. also, it is a flowly top so you will need to size down. however, because of the shape it will fit snuggly around the chest/arms. this didn't work for me as it accentuated my normal body type (as in not the model type). i am not overweight but it definitely didn't flatter my chest area. seems like the top worked for others so i suggest trying on first.",General,Tops,Knits
No shape,"I wanted to love this dress, however it has no shape to it. it is also somewhat see through, so something needs to be worn under it. i feel like i received a dress that has been stretched out and returned. i'm extremely disappointed. i do not recommend.",General Petite,Dresses,Dresses
"Runs small, too much distressing","I have a few pairs of the stevie ankle, so i thought i try these. they have very little stretch and feel tight in the waist. the distressing near the front pockets is really apparent...like white stripes. they make the jean look overall cheap. not worth $198, in my opinion.",General,Bottoms,Jeans
Bulky and big,"The material, deep color and design are gorgeous. however, the dress is just too bulky for my 5'2"" and 110lb frame. i ordered a 0p, and it just wasn't flattering on me. it's somewhat tent-shaped so the fact that it's not at all fitted and has a thick lining made me look larger than i actually am. i'm so disappointed because the dress really is beautiful otherwise.",General Petite,Dresses,Dresses
Really wanted to like it,"The sides scooped up a bit too much on me. i was hoping to be able to tuck this into a skirt and wear to work, but there were definitely some gaps that showed the side of my midriff. back it goes. :(",General,Tops,Knits
Worst peplum top in history,"This is the most unflattering peplum top i have ever tried on. fit perfectly as a size 6 should in the arms, shoulder, chest... then the waist was huge! just hung off of me like a flour sack. it was wider than the chest measurements, which made me appear frumpy instead of tailored and classic. combine that with the high-low hemline and it looked like a project runway reject. sent back immediately, do not buy this if you have (or want to appear to have) an hourglass figure, it will do nothing for",General Petite,Tops,Blouses
Enormous....,"I knew that the cut of this shirt was boxy, but this is huge.  i wear a l or xl at retailer, and i got the m/l and was swimming in this top.  sadly, this will be going back.",General,Tops,Knits
Unflattering,"Even in my usual petite small size, this looked bulky and made me look stumpy. disappointing because the style looks so good in the picture and the material looks to be good quality. i don't even know if going down a size would have helped. as others have mentioned it looks like a frumpy house robe.",General Petite,Jackets,Outerwear
Very sheer and shorter than shown,"Beautiful print, however as the previous reviewer mentioned it is very sheer, much sheerer than the product shot shows. i was expecting to be able to wear a nude bra under this without a cami, however my nude bra was completely visible.
the top also ended at the middle of the zipper of my jeans, so much shorter than the tunic length shown, and the bottom half of the sleeves ballooned out much more noticeably in person (the top half of the sleeves are slim, and the bottom half are looser).
over",General,Tops,Blouses
I wanted to love it.,"I read the other reviews before i purchased this jumpsuit because it's very cute. as another 5'3"" reviewer mentioned it will be longer so for me that's a plus but i have thighs, not huge but regular well proportioned woman thighs and boobs. it was a little tight but doable around my thighs but my boobs got ""lost in the sauce"". i gotta love it to keep it and i don't. it's a great print and fabric though.",General,Bottoms,Pants
Very flattering and comfy,"I'm so short that this could be a dress! runs a little big, but very forgiving. the green color is so vibrant! love love love!",General,Tops,Blouses
This sweater is everywhere!,"And not in a good way. everywhere i went, i left a little of this sweater behind. within hours of having it on, i was picking balls of fabric off the couch, bed, and the sweater itself looked like it was molting. great style, fabric and fit (although a little on the long side,) but there's no way i can keep it.",General,Tops,Fine gauge
Perfect jogger!,Love these pants. bought both the navy and the white. they are comfortable and a perfect fit. the xs is just right. i'm normally a 26 in denim and i was fearful these would either be to small in an xs or too big in a small but the smaller size is just right. soft and silky. they fall in a lovely way.,General Petite,Bottoms,Pants
Weird fit in the bust,I own many retailer dresses but the sizing can be odd. i usually wear a size 4-6 and i have a floreat maxi dress size 4 that works well. i am 34c and based on the reviews i decided to order a size 6. the dress fits well except for he bust area that is very snug/couldn't even get the zipper up. i will probably have to order a size 10 to be able to close the zipper on the bust area but it will be huge everywhere else.the fabric seems very delicate and may develop runs easily. it's a shame because th,General Petite,Dresses,Dresses
Cute layering piece,Bought one for myself and one for my mom.  we both love it.  super soft. boxy and oversized but great for layering over a belted tunic.,General Petite,Jackets,Jackets
Really small,This product runs either really small or is super high waisted. either way not for me.,General,Bottoms,Skirts
"Runs big, a bit sloppy looking and overpriced.","I was thoroughly underwhelmed. it did not hang well, and the fit seemed off. the tie waist just sort of hung there. i could have sized down, but i didn't even want to bother. it was pretty boring and flimsy for $138.",General Petite,Dresses,Dresses
"No, just no.","I wanted to love this. couldn't wait for it to arrive.  unfortunately, it doesn't look anything like the picture.  i usually wear a m/l in holding horses so i ordered a l but as soon as i held it up i noticed it was ridiculously large. the fabric is on the heavy side so the dress just hangs in a very unflattering way. and, it is extremely shimmery.  i love velvet, but the texture and sheen of this dress was just over the top. sadly, it is going back.",General Petite,Dresses,Dresses
Love this!!!,"Tried it on at the store. (must of been a return) at first i wasn't thrilled with this dress.. have a little bit of a pouch and would never think i could wear a tight dress like this. the cut was perfect for that imperfect belly. went to a 5 hour dinner that night and was so comfortable. not itchy and i felt very pretty in it. husband loved it and was happy for me to show my curves again. would not of ordered this online, so glad it was in store. much more vibrant in person . try it you will lik",General,Dresses,Dresses
Great shirt,Love this shirt. great shape and lightweight material for hot houston weather. washes up nice but does need some ironing.,General Petite,Tops,Blouses
Different from picture,"What a pity! this blouse has a beautiful design, however it doesn't fit well on the body. it's not really a size problem, it's just not a well fitted blouse. the color is very deceptive, it looks white on the picture, but it's actually pink. i'm probably going to return it.",General,Tops,Knits
Completely wonky,"I got this in a l, and probably i am a m. however, the waist pretty much fit, but the bodice was baggy in a really bizarre way. i don't think a human could actually be shaped a way that would fit properly in this dress. this dress is well suited for a woman with a very large bust, but a small waist.",General,Dresses,Dresses
Red tee,"Nice tee, true red,3/4 sleeves, lacing is a nice touch. good quality and great sale price.",General,Tops,Knits
Perfect!,"This is the prettiest little nighty. it is romantic, soft and so very pretty. i really adore everything about this piece , but the pink detail on the trim, along with the floral embroidery is are just the right extra touches that retailer shoppers have come to love.",General Petite,Intimate,Lounge
"Pretty colors, comfortable",Comfortable top. would have been nice to have it a couple inches longer. pretty colors (the floral pattern).,General Petite,Tops,Knits
Wrinkles,"This dress is gorgeous as displayed at store. color is vibrant, but the one i ordered looked dull and wrinkles very easily. i wore it to a ceremony and the seatbelt left me wrinkled before i arrived. the top is very wide and best to wear strapless.",General Petite,Dresses,Dresses
So cool,Really adorable and very retro looking.. fits true to size but i got it a size larger because i wanted to tie up the bottom.. have had it 3 days & have worn it twice already!!!,General,Tops,Knits
"Unique cardigan, both dressy and casual","I love this sweater because it is so versatile! it looks casual with jeans, but i plan to wear it to the opera with dressy black slacks. the beautiful black embroidery is unusual and asymmetrical in back.",General Petite,Tops,Fine gauge
Poor quality,"This skirt looks exactly as pictured and fits great. i purchased it a few weeks ago and got lots of compliments on it. however, on the third wear, the side zipper split wide open. needless to say, it was returned.",General Petite,Bottoms,Skirts
Great too but not for women who have a large bust.,It's hard enough for women to find clothing that will make them look as beautiful as they feel but add a bigger bust size (i'm a 36dd) and it makes it this much harder. i ordered this top because of how beautiful it looked on the model and the price. when it arrived i was so excited! retailer does such a beautiful job with the way they handle their items! it was wrapped beautiful and no damage. i ordered a size 8 knowing that my chest could be a potential problem. the too itself is gorgeous! i did,General Petite,Tops,Blouses
"Orange color is pretty, quality is poor","I ordered the orange in size xl. the fit on me matches the model other than being a little shorter in length.

the quality is bad. i ordered two of these sweaters and both arrived, new in the packages, with one having a small hole. the knit is so thin, as is the base material. the arms are basically see-through. it doesn't offer any warmth because of the thinness. i layered a long-sleeved white tee underneath which helped. the edge of the sleeves stretched out within an hour. i also had two area",General,Tops,Fine gauge
Beautiful dress,"Beautiful dress, stretch material makes sure it fits the figure nicely. great value.",General,Dresses,Dresses
"Beautiful top, just not perfect","I got my usual xs (i'm a 32b) and the top fit fine from the chest up. my head just fits through the hole on top without having to unbutton. but then from the chest down, the shirt billows out too far. it hits me at the hip like the model (i'm 5'6"" and wear 2/26) but because of the extra fabric it really needs to be longer to balance out the trapeze look. since the top portion fits nicely i almost want to keep it then have a seamstress take it in a little at the waist so it's more a-line than tra",General,Tops,Blouses
Versatile and comfortable dress,I loved this dress so much i got it in two colors. the colors match the picture online. it's very soft and will work for summer and fall.,General Petite,Dresses,Dresses
"Too wide, too short",This jacket was too wide and the length in the arms too short. i wear a medium in almost any article of clothing and felt like i was swimming in a short little jacket. the ratio of how wide it is to the length is not for me but might work well with other body types. the arms were definitely too short.,General,Jackets,Jackets
Cute but not for anyone bigger than a b cup,I was so excited to get this dress and could tell right away it was beautiful. the fabric and detail are perfect and seem great for summer. then i tried it on ....to say the bust area is tight and not proportioned correctly would be putting it very nicely. it was a total joke. this dress is for very small chested only.,General,Dresses,Dresses
Simply beautiful,"This top is beautiful! it is comfortable - soft and relaxed without being ""baggy."" colors are just as seen on the website...if not prettier. it is a versatile and flattering top; tucked in or not; sleeves rolled up or not; i love it!",General Petite,Tops,Blouses
Awkward,"Maybe i shouldn't have sized up to an xl but i'm not sure a smaller size would have solved the weird fit. the vee is quite low and i'm busty. it'll be really low if you're smaller on top. the fit from back to front where it ties looked horrible on me. not tight at all. it's almost balloon like around the hem and from the side view, i looked like a really wide green apple. i hate leaving a bad review because i know someone may love it but i wouldn't recommend it.",General,Tops,Knits
Poof,This looks so cute...but don't be fooled. it is so poofy. it does not look in real life like it does on the model. it poofs way out on the sides and looks ridiculous. i was so disappointed.,General,Tops,Sweaters
I really wanted to love this top!,"I read the previous reviews and ordered down a size knowing that the shirt runs big.   i really wanted to love the shirt however it was a tent. with all of the extra material in the back, it billowed out in all the wrong places. the material is comfy and it's a very cute concept, just didn't work for me.",General Petite,Tops,Blouses
Disappointing,"Ordered this top online and wanted to love it but the fit was very off. i love the drape in the front, but it did not hit in the right place. the fabric was soft, but not as high end looking as i was expecting. i love flannel tops and wanted a more formal look, but sadly this is going back.",General Petite,Tops,Blouses
Sad but true,"I too will be returning this sweater. love the style, shape and fabric, but after one wearing it has pilled terribly and now looks old and cheap.",General,Tops,Knits
"Beautiful yarn, bulky fit","I wanted so badly to love this sweater. the colors in the blue motif are fabulous and the yarn is soft and warm. but it does not fit me in a flattering way. i can't recommend a size, because the s and the m were exactly the same size and fit. the neck is broad and bulky and overwhelming, the sleeves have bulky cuffs that come down to my fingers, and the sweater slides across my shoulders. i'm 5'6"". it appeared overstretched, and i feared it would only stretch out more over time and not be worth",General Petite,Tops,Sweaters
Wanted to love her,Beautiful victorian look blouse. runs large and overly blousy on me.,General Petite,Tops,Blouses
Rather cheap looking,Cute in the on line photo but in person it looks cheap and has gold running through it. if you look really close in the photo you can see it.,General Petite,Tops,Blouses
Not for everyone,"The top looks like an oversized shirt in the model photo but as you can see it's not at all in person. made with what feels like hospital scrubs-meets-crisp-poplin, this shirt is stiff and does not lay flat against the body. the cut is almost triangular or bell shaped causing it to jut out - think of a flared wide leg pant - but as a shirt. the sleeves have a similar cut as well. i, too, am a 34c and found it made me look much wider as your bust will cause the shirt to move away from you. it's s",General Petite,Tops,Blouses
Now i understand,"When ordering this product, i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however, these run small and i see why the medium ran out. they are pretty, however, i wish they made them more true to size.",Initmates,Intimate,Intimates
Love this dress,"I am 6'2"" and athletically built, and i usually have issues with dresses being long enough for me, but this beauty has the perfect fit and perfect length. it is very flattering. the weight of the dress allows it to move with you. it is form-fitting, but loose at the same time, so your body doesn't look lost in the material. you can dress it up with heels, or wear it with boots or sandals to be a bit more casual.",General,Dresses,Dresses
"Unique peplum sweater, soft, comfy, fabulous","Dark burgundy sweater, cable pattern in front (subtle; hard to see online) embedded with panels of brown tweed in peplum section. beautiful fall sweater.  soft and comfortable. looks great with skinny jeans, would also look nice with a casual skirt or pants.  beautiful color.  slightly roomy fit (not fitted, but not boxy)...true to general size. love this for fall and winter.  flattering, comfortable, unique.",General,Tops,Fine gauge
Cute piece for fall,I ended up ordering this in a petite online after trying it on in store. i found the regular length to be a bit too long and flowy and i preferred it to be more tailored. it's very cute and on trend. can't wait to wear it with some dark flare jeans!,General Petite,Tops,Blouses
Australian sizing!!,So  disappointed that no where in the limiting did it mention this suit is australian in size!! i ordered the 10 (i'm usually an 8 but that was sold out) and the suit arrives and doesn't even fir over my hips. -- the label clearly says 10 australian us 6!  gutted that i have to return this suit because of this sizing issue.  the suit looks to be well made and the design is adorable of it only for.,Initmates,Intimate,Swim
"Beautiful color, poor design in the back","I was so excited when i saw this dress! i love this color, and the poplin sleeves. i was so sad when i tried it on though, the back poofed out in such a weird and unflattering way. i think it is because there is a pleat high up in the back, but then it seems like it gets narrow again around the hips. strange. also the material is kind of stiff and seems poor quality. i do love the way the top and the sleeves look on me though, so i am actually considering keeping it and just making it into a top",General,Dresses,Dresses
Too large and not flattering,The top ran too large and it made me look more bustier than i am and rounder in my midsection by how it fell on me. maybe would've been better for someone with a smaller bust. the quality of the fabric was just okay.,General,Tops,Blouses
Coral roll top sweater.,This sweater is thick and does cover the bra well. i did not find it to be well made. the ribbing seemed to be attached loosely in places. i am a size large with a b cup and a bit thicker through the middle to my middle age dismay. putting this sweater on in coral made me feel like a giant peach. for those with larger breasts it is likely more flattering.,General Petite,Tops,Sweaters
Love this sweater,Such a festive sweater and i've received many compliments anytime i wear it. unique and fun to wear!,General,Tops,Sweaters
Beautiful camel color,"Love this top! tried it on in store...so glad i did since it runs large and i had to size down to a medium. the color is a beautiful camel and the material is soft...very grateful the fabric content did not contain dreaded wool, lol! therefore leaving it soft and comfortable to wear...the price tag was a bit much considering it is only a sweater vest but with retailer price equals quality so i don't mind spending the extra $!",General,Tops,Sweaters
10 lbs. no thanks!,"I was very excited to receive this dress because of the cute photo. however, upon arrival i was completely disappointed. the color is much more drab than the photo. the smudged polkadots weren't attractive. there were many little bumps and pulls in the linen. the dress is super heavy. the pleats around the waist did not lay correctly.
and it adds 10 pounds to your hips! super sad! i am sending it back.",General,Dresses,Dresses
Boxy and short,This top looked super cute online but when it came it was super short and boxy. looked like a tent on me. this one went back the same day it came!,General,Tops,Blouses
Umm what is this,"I wish i had read all the reviews before purchasing. the sweater looked liked everything i would be interested in online. once i pulled it out of the bag, my first thought was how could retailer send me a used, washed and shrunken sweater. it is nothing like the picture. it fits like a midriff top, not exaggerating. i'm 5.6, ordered the m, don't waste your shipping money on this.",General,Tops,Sweaters
Tassels :(,"I wanted to love this, as it seemed like a fun and carefree take on a little black dress.

but how did i not see that this has tassels? but they're there, a whole row of them - look hear the bottom of the skirt part, between the colorful stripes and the lacy area. that's a deal breaker for me - i really can't stand the way these look, and they're not the sort of thing you can easily remove.

the fabric, though nice quality, has no stretch at all. i wasn't expecting stretch, but i'd just say",General,Dresses,Dresses
Thick material,I love the look of this dress and i love the way it is cut. the one thing i do not love is the thickness of the material. it is just too much for a summer dress. it just felt heavy and hot. i still love this brand so i am hopeful for a few more great options to come out before summer is over.,General Petite,Dresses,Dresses
Runs large,"The buttons on the back are very tedious. you will need someone to help you. if you get past that hurdle, then you have the look of a little girl in a smock. way too big. like a nightgown. nice quality, but not practical.",General Petite,Tops,Blouses
"Good idea, looks so cheap","Love the idea of this top, but it is so thin and the sequins look so cheap. the quality reminds me of something you would buy for $20 at a market abroad. definitely disappointed with the quality for the price. will be retuning.",General,Jackets,Jackets
The horror,"This vest looked so cute online but it's a disaster. the quilting is so bulky that the drawstring doesn't work properly and it just hangs. itlooks like something out of a costume closet that could be used for a peasant farmhand or a zombie movie. seriously, it's bad.",General,Jackets,Jackets
Cute but not on me,This dress looks so elegant and perfect for transition from work to night. it looks great on the model but it looked terrible on my. it's a lovely material but the middle added girth to my stomach area which i did not care for.,General,Dresses,Dresses
Flattering for a summer wedding,"Loved this dress. fit like a glove, so flattering, and perfect for a summer/fall wedding. material is substantial and dress is well made. i'm 5'4, large chest, and curvy, and a size 6 fit perfectly. longer than seen on the model for me, but i actually love it being tea-length. 

a strip of tulle attached to the lining underneath the skirt to help it ""poof."" i removed it, but looks good either way.",General Petite,Dresses,Dresses
Terrible,"I rarely write a really negative review and retailer is my favorite store ever. but this dress is awful. i ordered the black and white. the fabric is very poor quality. the colors are washed out. i almost didn't try it on, but i did and found that, for me, the fit was terrible (though some of the reviewer pictures are cute).",General Petite,Dresses,Dresses
Not worth the price,"I got this shirt in stores because it went on sale! i was excited to wear it, but it felt a little long on me. i decided that after a regular wash, it would help it. after washing, it shrunk way more than my other retailer clothes! now the arm straps feel really tight and the fabric lost its flowy-ness. it's a classic shirt, but it may not be worth the price for the quality of the fabric. be careful when washing.",General,Tops,Knits
Great shirt for work,This top is really comfortable but dressy enough for a business/casual office. the fit is nice and loose without making you look larger than you are. i get a lot of compliments every time i wear this.,General Petite,Tops,Fine gauge
Disappointed,I wanted to love this top. it was huge and i didn't like the material. it felt like it should have been much less expensive than it was.,General,Tops,Knits
Odd fit,"I really wanted to like this top, but unfortunately it is not as pretty or flattering in person. the yellow looks dirty in real life, not pretty like the picture. it is also a strange fit/shape when it is on. i tried it on in the store and did not like it at all.",General,Tops,Knits
Muumuu,"I was surprised at the high quality of fabric; however, the dress looked like a muumuu on. maybe with a belt it would be cuter...",General Petite,Dresses,Dresses
One big flaw,"This dress is cuter is person than online, but it has one huge issue - there is a teeny tiny button at the neck that is held on by a thread and requires fingers the size of a two year old to get open. it fell off the minute i tried to undo it. i can't believe these other reviewers didn't have the same problem. or, maybe they put a snap there instead. too bad.",General,Dresses,Dresses
Great design with cheap fabric. not worth it.,"Really wanted to like this and took chances based on other reviews, even with the sale price and addtl discount. it's basically $30 blouse fabric with design and detail-work of a much more expensive blouse. the white is sheer and and fabric will wrinkle easily. if it were black, you could probably get away with it, but the white shows too many flaws and will wrinkle. sad to have to send it back.",General,Tops,Blouses
Great staple piece!,"Great fit and quality. i'm 5'3"" and 130 lbs, size 4 fit perfectly. bought both the blue and black. could definitely dress up or down!",General,Tops,Blouses
Hollywood chic,"Omg when i saw this coat in the baby blue i knew i had to have it. i tried it on and fell madly in love! i decided it was the only thing i needed in this world. it is soft and cozy. comfort with an old fashion hollywood glam. its almost sold out already, so grab it if you can cuz its divine! does run a little big, so i got a 0 instead of a 2 and its perfect.",General Petite,Jackets,Outerwear
Easy breezy pants,"Love these pants! i'm 5'10 and the length is perfect. could even wear a little heel. the fold over waist is so comfy, they feel like pajamas but look very classy. i bought the navy and silver (more of a khaki color) on sale for a great deal. the washing instructions say line dry but i threw them in the dryer on low and they came out fine. just need to remove and hang quickly for less wrinkles.",General Petite,Bottoms,Pants
"Pretty, but stiff",This dress you will want to try on in the store. it is very thick and stiff fabric. the whole front is embroidered and the big drawback for me is that waist seam. there is absolutely no give in that waist. this is not stretchy fabric and not easy for just any body type to wear. sad because it is very pretty on the rack!,General,Dresses,Dresses
Misleading picture!,"The top i received was large, really long in length, pockets in the front along the seam, and lots of volume in the back without any princess seams to give it shape. the id #'s matched, but that's about it. returned!",General Petite,Tops,Knits
So disappointed!,"I couldn't wait to get this top in the mail since they didn't have it at my local retailer, but i was so disappointed in both the quality and fit. the white is completely see-thru, i can't believe how sheer the material is - especially for the price. even as the shirt is lying down, i can see through both layers of it... the fit runs small, and short.",General Petite,Tops,Blouses
Sadly disappointed,"I wanted to love these jeans, but as a woman who is almost 45 there was way too much stretch in them. i am always a size 26 and i couldn't wear these, they were way too tight! they went back the next day. i will say, it could be my body type, i""m a runner so my legs are muscular. if you have very thin legs, these could be great and work for you. i loved the color, dark blue.",General,Bottoms,Jeans
Fun jeans!!,Loved the idea of these as soon as i saw them!  great mid weight jean.  a little large in the waist.  the rhinestones sparkle and i received tons of complements when i wore these jeans!  great dressed up or down!,General Petite,Bottoms,Jeans
Center pleat off center,I ordered this skirt because it looked cute and versatile. when it arrived the pleat in front (shown in the center) was far to the right so the overall look was crooked. not sure if it was a quality control issue or if that's the true design but it will have to go back. too bad because i had high hopes!,General Petite,Bottoms,Skirts
Not for broad shoulders,"This was pretty to look at: nice weight, lining, colors. i tried it on and whoa. ridiculously bad. i have broad shoulders and a small waist and this accentuated the broadness of my shoulders and eliminated any hint of shape below that. the model photo looks great, so i imagine this will look great on anyone with slim shoulders and narrow hips. definitely not for me, though...",General Petite,Dresses,Dresses
Beautiful blouse but too boxy/swingy,"The blouse is lovely - i loved the lace, color (though just as other reviewers mentioned its a darker blue closer to a teal color) and edging. i am very petite, for reference, 5'2"", 24 waist and 30e and normally wear a 00 or 00p. the 00 was still too wide for me around the waist/bottom and had too much of a swingy effect - it made me look like i was pregnant so i sadly returned. i wish this had more of a fitted look to it.",General,Tops,Blouses
Not for me,Well made. made my hips looks giant. just not my style unfortunately. i'd have to work at preschool or on a ship to pull this off. i'm 5'3 120-123lbssize 6-8. i got the size 6 (not petite cuz they were sold out).,General,Bottoms,Pants
Beautiful but fit awkwardly,"Beautiful detail and soft sweater. i ordered a medium and the toro so fit well but was short. arms were long and baggy in comparison. given the fit, i didn't think the small would work. really wanted this to work but unfortunately it is going back.",General,Tops,Sweaters
Rediculously small,"This top is beautiful online and in person. i am in no way a large full figured gal, but i did order an xl. reading the past review and wanting an airy fit i ordered a larger size. this shirt is horribly tiny in person! the xl regular fit looked like an xs. have no idea if this particular shirt sent to me was miss sized or what. will take back. other than fit, the shirt is very beautiful in every way.",General Petite,Tops,Knits
Did not fit properly,"I loved this top when i saw it online. i was able to go in the store and try it on and sadly, it is not the top for me. if you have a large chest, then this top will gather at your cleavage and give an awful appearance. the fabric falls in and even the sales associate agreed that it was unsightly. if i were an a or b, this probably would have worked. i should have known to stay away from a pleated top.",General Petite,Tops,Knits
"Casual, fun use of plaid","The drape of this shirt is flattering, and i appreciate the longer tail in back. the fabric is light, and that is perfect for our fall transition here in so. california. with a sweater, it will be great in winter, too. so far, i've worn it with jeans and booties, and have accessorized it in different ways to dress it up or down.",General,Tops,Blouses
So boxy!,"I bought this shirt in a l, since i didn't want it to be too fitted and was concerned a m would be. it is so boxy! it's like a completely different shirt. i have no idea how it looks good on anyone, unless it is simply widened the larger the size. maybe a m wouldn't be as wide and therefore as boxy, but this shirt is just a bad mess. returning.",General,Tops,Knits
Size down,"I followed the advice of other reviewers and sized down. however, the jacket was still too large. it fit fine in the arms but the body/width of the jacket was huge. also i found the wool material to be extremely itchy. it might work if you are layering it over long sleeves but still make sure to size down at least one or maybe even two sizes.",General Petite,Tops,Sweaters
Boxy and unflattering,"Not at all tapered at waist as suggested here by photos. i have wide shoulders and am slim, and this made me look big all around. i am doubtful a smaller size would correct this- i am 5'10"" and ordered a medium. also, it curls under a bit at the waist. one nice thing about the cream is that it is not see through. anyway, i purchased this to go with high waisted skirts but am returning.",General,Tops,Knits
Unflattering,I own many blouses by tiny. the arms on this blouse billow out which was not flattering or thinning on me. the shirt was just blah.,General,Tops,Knits
Great stable manner,"I saw a sales associate (sa) wearing it at my local retailer and totally loved it. this t-shirt runs very large, so it depends on how one wants to wear it. the sa wore it oversized and tied to the side, super cute. i tried on a regular small and it was still 2 sizes too big and too long on me. i ordered the xs petite and it fits perfectly, not too fitted and not too loose (i'm 5'2"", 34b, 26 waist, 36 hips). my mother was a great embroider and the ""giddy up"" embroidery work at the neckline and the",General,Tops,Knits
Meh,"I love the design of this blouse and the pattern, but the colors are a bit darker than in the photo. the quality is pretty poor. i feel like its a snag away from being ruined and thrown away and for this price it is just not worth the purchase. sending it back :( 
it comes with a tank top; just to let others know.",General Petite,Tops,Blouses
See through potato sack,The title says it all. looks very pretty online though.,General Petite,Dresses,Dresses
Not very functional,"This vest doesn't have a button, so i thought i could put my own. but when it arrived, it just didn't fit that well. the opening in the front is too big, the vest itself while nice and warm is not functional at all due to openings everywhere. i don't know, why even make a vest like this with no front button and such a wide opening, how is one supposed to keep warm at all?",General,Jackets,Outerwear
"Beautiful, easy top","I love this shirt so much i came back and bought it in black (i originally got the lavender color). it is super easy to wear and has a delicate quality to it (though i washed it on a regular cycle and it's holding up well!). as you can see from the photos, because of the wrap style, the middle of the front is shorter than the rest of the shirt. i've worn this top with regular rise jeans and haven't had a problem, though if you lift your arms, your belly may show. i purchased my usual size small",General Petite,Tops,Knits
Conversationalist buttondown,"The blouse was not flattering on me. it would be for someone with a straight slim body type, it falls mid hips and so it accentuates my hips making them look larger. it's flared so it cannot really be tucked in.",General,Tops,Blouses
I really wanted to love this dress,"So, this dress is extremely comfortable, but it's just really awkward. i am on the fence about keeping it, my husband loves it and thinks i should. it just draws attention to the belly, so any issues after having kids, is very noticeable. not to mention the huge cutouts for the arms. very comfortable, but not sure if i will keep it.",Initmates,Intimate,Lounge
Great fit!,"I love this flirty, well fitted dress! quality material!",General,Dresses,Dresses
Doesn't look like the photo at all,"This arrived this week and i was so disappointed. the proportions are all wrong--- from the empire waist to the dolman sleeves, to the weird texture added to the material. if i could sum up this jacket with one word it would be ""weird"".",General Petite,Jackets,Jackets
Too thick,"This sweater was pretty short. beyond that, when i raised my arms, the thickness of the sweater caused the shoulders to rise up and stay there when i put my arms down.",General,Tops,Knits
